treat,age,education,black,hispanic,married,nodegree,re75,re78
1,22,11,0,0,0,1,0.0,1048.432
1,18,11,1,0,0,1,0.0,4814.627
0,26,5,1,0,0,1,0.0,0.0
0,44,9,1,0,1,1,10857.24,12359.31
0,39,6,1,0,0,1,0.0,0.0
1,20,10,1,0,0,1,2777.355,5615.189
0,37,10,1,0,0,1,8606.743,0.0
0,55,3,1,0,0,1,0.0,5843.796
1,18,10,1,0,0,1,798.9079,9737.154
0,21,10,1,0,0,1,922.5729,0.0
1,24,11,1,0,0,1,0.0,1991.4
1,25,11,1,0,0,1,0.0,0.0
0,17,9,1,0,0,1,1206.441,0.0
0,19,11,1,0,0,1,0.0,0.0
0,20,8,1,0,0,1,0.0,3644.655
0,22,8,0,1,0,1,0.0,9920.945
1,31,12,0,0,0,0,2611.218,2484.549
1,18,9,1,0,0,1,1182.786,5100.469
0,25,11,1,0,1,1,0.0,44.75546
1,26,10,1,0,1,1,0.0,0.0
0,25,10,1,0,1,1,0.0,0.0
0,19,11,1,0,0,1,0.0,0.0
1,27,11,1,0,0,1,0.0,549.2984
1,25,12,1,0,0,0,0.0,2348.973
1,23,8,0,1,0,1,0.0,3881.284
1,18,9,1,0,0,1,1182.786,5100.469
0,31,11,1,0,0,1,7505.213,308.3352
1,19,9,1,0,0,1,0.0,8173.908
1,26,10,1,0,0,1,6788.958,672.8773
0,22,12,1,0,1,0,9352.199,8072.181
0,24,10,1,0,0,1,0.0,0.0
1,21,12,1,0,0,0,0.0,9983.784
0,20,11,0,1,0,1,0.0,6378.72
1,29,13,1,0,0,0,0.0,7479.656
1,20,11,1,0,0,1,6426.646,16451.46
1,29,10,1,0,1,1,4923.263,130.6791
1,35,8,1,0,1,1,17976.15,3786.628
1,42,14,1,0,1,0,0.0,13167.52
1,27,8,1,0,0,1,7218.277,7976.932
0,34,11,1,0,0,1,8912.484,5611.866
1,17,10,1,0,0,1,156.9491,10641.24
1,19,11,1,0,0,1,10224.37,11293.81
0,17,10,1,0,0,1,0.0,2657.705
0,18,9,1,0,0,1,0.0,2389.679
1,25,11,1,0,0,1,0.0,0.0
0,25,12,1,0,0,0,0.0,3418.097
1,24,10,1,0,0,1,0.0,0.0
0,27,9,0,1,0,1,1596.762,6723.414
0,24,12,1,0,0,0,159.8847,0.0
1,34,11,0,1,0,1,4641.467,2877.682
0,21,9,0,0,0,1,1577.167,1740.199
0,27,12,0,0,0,0,5035.444,0.0
1,20,10,1,0,0,1,11073.09,0.0
0,21,7,0,1,0,1,0.0,0.0
0,26,10,1,0,0,1,0.0,2169.027
0,18,9,1,0,0,1,0.0,0.0
0,18,10,0,1,0,1,0.0,6527.919
0,18,9,0,1,0,1,1646.51,1065.672
1,25,12,1,0,0,0,0.0,11965.81
1,28,8,1,0,0,1,1182.786,7779.263
0,18,8,1,0,0,1,0.0,1568.15
0,29,12,1,0,0,0,0.0,1890.937
1,30,12,1,0,0,0,0.0,24909.45
0,18,6,0,1,0,1,6142.681,3825.308
1,17,9,1,0,0,1,1341.651,1374.066
1,29,4,1,0,0,1,0.0,762.9146
1,32,11,1,0,0,1,0.0,8472.158
1,17,9,0,1,0,1,74.34345,6210.67
0,25,10,1,0,1,1,0.0,3701.812
0,34,13,1,0,1,0,0.0,5193.247
1,23,12,1,0,0,0,501.0741,671.3318
1,29,10,1,0,1,1,4923.263,130.6791
0,18,10,0,1,0,1,0.0,1859.167
0,28,12,1,0,1,0,5551.456,12780.02
0,28,8,1,0,0,1,10610.08,4623.188
0,20,11,1,0,0,1,7666.875,7659.218
0,24,9,1,0,0,1,9662.67,0.0
0,27,12,1,0,0,0,32984.25,10833.34
1,25,8,1,0,0,1,0.0,0.0
1,37,9,1,0,0,1,0.0,1067.506
0,27,13,0,0,0,0,474.5018,4812.576
0,17,10,1,0,0,1,0.0,2189.426
0,19,9,1,0,0,1,1537.929,4188.736
1,26,12,1,0,0,0,1088.907,11460.56
0,34,11,1,0,1,1,0.0,6040.335
0,22,10,1,0,0,1,0.0,0.0
0,44,11,1,0,0,1,0.0,0.0
1,19,11,1,0,0,1,532.2536,0.0
1,25,14,1,0,1,0,11536.57,36646.95
0,26,14,1,0,1,0,2025.566,0.0
1,40,12,1,0,0,0,0.0,10804.32
1,17,7,1,0,0,1,0.0,3023.879
0,18,9,1,0,0,1,2006.629,6546.01
0,34,9,1,0,0,1,4368.413,14051.16
0,17,11,0,0,0,1,0.0,0.0
0,22,10,1,0,0,1,13732.98,10770.96
1,20,11,1,0,0,1,696.2192,0.0
0,30,11,1,0,1,1,9311.938,3982.801
1,21,11,0,1,0,1,17983.71,15191.91
0,25,11,1,0,0,1,0.0,0.0
1,24,11,1,0,1,1,1666.113,4032.708
0,19,11,1,0,0,1,393.8598,2481.518
0,28,10,0,0,1,1,6346.193,6793.077
0,28,9,1,0,1,1,9210.447,1239.844
1,29,12,1,0,0,0,1817.284,0.0
1,42,12,1,0,0,0,0.0,2456.153
1,24,11,1,0,0,1,9180.92,0.0
1,49,8,0,0,1,1,7285.948,16717.12
0,39,12,1,0,1,0,6608.137,499.2572
0,21,11,1,0,0,1,0.0,1553.291
0,17,9,0,1,0,1,0.0,5114.814
0,28,8,0,0,0,1,0.0,8190.421
0,20,10,1,0,0,1,825.2301,0.0
0,26,10,1,0,1,1,558.7734,0.0
1,20,9,1,0,0,1,0.0,8881.665
0,26,8,1,0,1,1,4084.258,0.0
0,18,10,0,1,1,1,1922.625,4768.354
1,19,11,1,0,0,1,2615.276,4146.603
1,18,10,0,1,0,1,2589.042,0.0
0,26,12,1,0,0,0,8479.593,10820.55
0,18,9,1,0,0,1,0.0,2389.679
0,19,9,1,0,0,1,902.4565,1914.414
0,23,11,0,0,0,1,19995.64,12896.22
1,23,12,1,0,0,0,7841.972,7947.257
0,32,8,1,0,0,1,0.0,7152.132
1,27,10,1,0,1,1,0.0,18739.93
0,35,10,1,0,0,1,9902.763,9453.827
0,23,11,1,0,0,1,29897.19,23483.45
0,27,11,1,0,1,1,1122.621,215.8348
0,23,8,1,0,0,1,3403.056,0.0
0,23,8,1,0,0,1,0.0,3746.701
1,17,9,1,0,0,1,1341.651,1374.066
1,20,11,1,0,0,1,696.2192,0.0
0,34,10,1,0,0,1,0.0,7952.54
0,18,8,0,1,0,1,2483.852,11135.53
0,25,10,0,0,0,1,8140.402,3412.955
1,43,9,1,0,0,1,0.0,0.0
0,39,12,1,0,1,0,6608.137,499.2572
0,17,10,1,0,0,1,0.0,0.0
0,20,11,1,0,0,1,7666.875,7659.218
1,27,10,0,1,0,1,421.3024,3075.862
0,31,12,0,0,0,0,494.643,0.0
0,23,10,1,0,1,1,0.0,0.0
0,27,11,1,0,1,1,4491.884,0.0
0,33,5,0,1,0,1,0.0,0.0
1,29,10,1,0,0,1,4398.95,0.0
1,24,9,1,0,0,1,2288.675,4849.559
0,28,11,1,0,0,1,13371.25,0.0
0,25,12,1,0,0,0,0.0,3418.097
1,19,12,1,0,0,0,2534.072,4551.979
1,21,12,0,0,0,0,334.0494,12558.02
0,24,9,1,0,0,1,0.0,16461.57
0,24,11,0,0,0,1,1468.383,10361.69
0,28,10,1,0,0,1,4479.587,128.672
0,23,11,1,0,0,1,0.0,0.0
0,20,11,1,0,0,1,7666.875,7659.218
0,26,14,1,0,1,0,2025.566,0.0
1,21,12,0,0,0,0,7390.634,3557.934
1,21,12,0,0,0,0,334.0494,12558.02
0,44,9,1,0,1,1,10857.24,12359.31
0,19,10,1,0,1,1,0.0,12797.67
0,18,10,1,0,0,1,0.0,9602.439
1,26,11,1,0,1,1,2754.646,26372.28
0,35,11,1,0,0,1,0.0,0.0
1,28,8,1,0,0,1,1182.786,7779.263
1,30,11,1,0,1,1,0.0,590.7818
1,28,10,1,0,0,1,2836.506,3196.571
0,19,11,1,0,0,1,0.0,0.0
0,27,11,1,0,1,1,4491.884,0.0
0,25,9,0,1,0,1,0.0,15791.13
0,39,6,1,0,0,1,0.0,0.0
1,31,12,0,0,0,0,2611.218,2484.549
1,42,14,1,0,1,0,0.0,13167.52
1,26,10,1,0,0,1,6788.958,672.8773
0,17,10,1,0,0,1,0.0,2657.705
1,21,12,0,0,0,0,0.0,8048.603
0,24,7,1,0,0,1,0.0,1455.69
1,33,11,1,0,1,1,25142.24,4181.942
0,36,10,1,0,0,1,0.0,14690.35
0,21,12,1,0,0,0,449.0479,0.0
0,18,11,1,0,0,1,8784.237,1824.377
1,48,4,1,0,0,1,0.0,6551.592
0,24,4,0,1,0,1,0.0,3880.833
1,17,9,1,0,0,1,1253.439,5445.2
0,25,10,1,0,1,1,0.0,0.0
0,24,7,1,0,0,1,0.0,1455.69
1,21,12,1,0,0,0,3332.409,9371.037
1,23,10,1,0,0,1,0.0,7693.4
0,18,10,1,0,0,1,0.0,202.2847
1,22,9,0,1,0,1,0.0,3595.894
1,21,11,1,0,0,1,2158.585,0.0
0,31,4,0,0,0,1,10711.08,0.0
0,26,10,1,0,1,1,9107.431,12659.58
1,31,13,0,0,0,0,5498.35,2329.867
1,32,11,1,0,0,1,0.0,8472.158
0,27,8,1,0,0,1,0.0,3783.66
1,21,12,0,0,0,0,0.0,8048.603
0,26,6,1,0,0,1,0.0,4813.05
0,25,11,1,0,0,1,3649.769,0.0
0,31,11,1,0,0,1,7505.213,308.3352
0,22,12,1,0,0,0,0.0,0.0
1,45,5,1,0,1,1,0.0,8546.715
0,34,11,1,0,0,1,0.0,2920.199
0,28,9,1,0,0,1,0.0,0.0
0,34,10,1,0,1,1,0.0,0.0
1,27,12,1,0,1,0,7806.387,2777.585
0,25,12,1,0,0,0,0.0,0.0
0,18,11,1,0,0,1,8784.237,1824.377
1,22,11,1,0,0,1,0.0,6456.697
1,17,9,0,0,0,1,1618.15,6011.021
1,28,8,1,0,0,1,1182.786,7779.263
0,21,14,1,0,0,0,5926.795,29408.04
0,17,10,0,1,0,1,1239.628,5088.986
0,45,9,1,0,0,1,0.0,4844.803
0,32,10,1,0,0,1,0.0,0.0
0,26,9,1,0,0,1,6955.054,11856.88
0,32,11,1,0,0,1,0.0,11120.53
1,27,11,1,0,0,1,2666.274,0.0
1,32,10,1,0,0,1,2321.537,179.0217
1,20,9,1,0,0,1,660.5159,12229.63
1,24,11,1,0,0,1,0.0,1991.4
1,18,10,1,0,0,1,798.9079,9737.154
1,27,11,1,0,1,1,2142.217,2186.189
0,28,13,1,0,0,0,0.0,0.0
0,17,8,0,0,0,1,0.0,10210.99
0,19,8,0,1,0,1,1087.803,2987.101
0,24,7,1,0,0,1,0.0,1455.69
1,23,10,1,0,0,1,15709.56,5665.066
0,20,9,1,0,0,1,0.0,5193.089
0,24,12,0,0,1,0,24294.75,665.7374
0,34,12,1,0,0,0,4087.214,5670.82
0,31,4,0,0,0,1,10711.08,0.0
0,24,10,1,0,0,1,1307.908,0.0
1,23,12,1,0,0,0,501.0741,671.3318
